student_id,role,username,password,gender,age,degree,educational_program,year_of_study,average_gpa,average_attendance,preferred_field_of_study,self_study_hours,average_sleep_hours,motivation_level,has_job,financial_support_from_family,stress_frequency,communication_skills,teacher_competence_satisfaction,use_of_university_resources,importance_of_interest_in_subject,exam_preparation_hours,most_influencing_factor
123,student,student_123,student_123,male,22-23,master,7m06105 computer science and engineering,1 year,3.3-3.4,80-89%,computer sciences,1-3 hours,7-9 hours,average,no,partial support,sometimes,average,hard to say,sometimes,moderately important,2–8 hours,amount of self-study
124,student,student_124,student_124,male,22-23,master,7m06105 computer science and engineering,1 year,3.1-3.2,80-89%,computer sciences,1-3 hours,7-9 hours,average,"yes, full-time",no financial support,sometimes,average,hard to say,sometimes,moderately important,2–8 hours,personal motivation
125,student,student_125,student_125,male,22-23,master,7m06105 computer science and engineering,2 year,3.1-3.2,80-89%,computer sciences,1-3 hours,7-9 hours,high,"yes, full-time",partial support,often,high,rather satisfied,often,important,less than 1 hour,amount of self-study
126,student,student_126,student_126,male,20-21,master,7m06105 computer science and engineering,2 year,2.8-3.0,70-79%,computer sciences,1-3 hours,more than 10 hours,average,no,full support,sometimes,average,hard to say,rarely,important,2–8 hours,quality of teaching
127,student,student_127,student_127,female,20-21,master,7m06105 computer science and engineering,2 year,2.8-3.0,70-79%,computer sciences,1-3 hours,7-9 hours,low,"yes, full-time",no financial support,rarely,low,rather dissatisfied,rarely,slightly important,do not prepare,financial situation
128,student,student_128,student_128,female,22-23,master,7m06105 computer science and engineering,2 year,2.8-3.0,70-79%,computer sciences,do not prepare,less than 6 hours,low,"yes, full-time",no financial support,rarely,low,not satisfied at all,never,not important,do not prepare,financial situation
129,student,student_129,student_129,male,22-23,master,7m06105 computer science and engineering,2 year,2.8-3.0,70-79%,computer sciences,1-3 hours,7-9 hours,average,"yes, full-time",partial support,sometimes,average,hard to say,sometimes,moderately important,less than 1 hour,interest in the subject
130,student,student_130,student_130,male,20-21,master,7m06105 computer science and engineering,1 year,3.1-3.2,80-89%,computer sciences,less than 1 hour,7-9 hours,high,no,full support,often,high,rather satisfied,rarely,important,less than 1 hour,financial situation
131,student,student_131,student_131,male,22-23,master,7m06105 computer science and engineering,2 year,3.3-3.4,80-89%,technical sciences,1-3 hours,more than 10 hours,high,"yes, part-time",partial support,sometimes,high,hard to say,rarely,important,2–8 hours,family support
132,student,student_132,student_132,male,20-21,master,7m06105 computer science and engineering,1 year,3.3-3.4,70-79%,technical sciences,less than 1 hour,7-9 hours,high,no,full support,sometimes,low,hard to say,sometimes,slightly important,2–8 hours,amount of self-study
133,student,student_133,student_133,male,16-17,bachelor,7м06107 media technologies,1 year,2.8-3.0,90-100%,humanities,1-3 hours,less than 6 hours,average,no,full support,sometimes,very high,fully satisfied,sometimes,very important,9–15 hours,personal motivation
134,student,student_134,student_134,male,18-19,bachelor,6b06105 media technologies,1 year,above 3.5,90-100%,technical sciences,1-3 hours,7-9 hours,average,no,partial support,rarely,high,fully satisfied,rarely,moderately important,2–8 hours,personal motivation
135,student,student_135,student_135,male,22-23,bachelor,6b06105 media technologies,1 year,2.8-3.0,90-100%,computer sciences,1-3 hours,7-9 hours,average,no,full support,sometimes,average,rather dissatisfied,sometimes,important,less than 1 hour,financial situation
136,student,student_136,student_136,female,20-21,master,7m06105 computer science and engineering,2 year,2.8-3.0,70-79%,computer sciences,less than 1 hour,less than 6 hours,average,"yes, full-time",no financial support,rarely,low,rather dissatisfied,never,moderately important,less than 1 hour,personal motivation
137,student,student_137,student_137,female,22-23,master,7m06105 computer science and engineering,2 year,3.3-3.4,80-89%,technical sciences,1-3 hours,7-9 hours,high,"yes, full-time",partial support,often,average,rather satisfied,rarely,moderately important,2–8 hours,financial situation
138,student,student_138,student_138,male,22-23,master,7m06105 computer science and engineering,2 year,3.3-3.4,90-100%,technical sciences,more than 4 hours,7-9 hours,high,no,full support,often,average,hard to say,rarely,moderately important,2–8 hours,family support
139,student,student_139,student_139,female,20-21,master,7m06105 computer science and engineering,1 year,3.3-3.4,80-89%,technical sciences,1-3 hours,7-9 hours,high,"yes, full-time",partial support,rarely,high,hard to say,rarely,important,2–8 hours,financial situation
140,student,student_140,student_140,male,22-23,master,7m06105 computer science and engineering,2 year,3.3-3.4,90-100%,technical sciences,1-3 hours,7-9 hours,high,"yes, full-time",partial support,sometimes,high,rather satisfied,rarely,important,2–8 hours,financial situation
141,student,student_141,student_141,female,22-23,master,7m06105 computer science and engineering,2 year,below 2.7,70-79%,technical sciences,1-3 hours,7-9 hours,low,"yes, full-time",no financial support,rarely,average,not satisfied at all,never,not important,do not prepare,interest in the subject
142,student,student_142,student_142,female,22-23,master,7m06105 computer science and engineering,2 year,2.8-3.0,70-79%,computer sciences,1-3 hours,7-9 hours,average,"yes, full-time",partial support,rarely,average,hard to say,never,slightly important,do not prepare,financial situation
143,student,student_143,student_143,male,22-23,master,7m06105 computer science and engineering,2 year,3.1-3.2,80-89%,computer sciences,1-3 hours,7-9 hours,high,no,full support,sometimes,average,hard to say,sometimes,moderately important,2–8 hours,quality of teaching
144,student,student_144,student_144,male,22-23,master,7m06105 computer science and engineering,2 year,3.3-3.4,90-100%,computer sciences,1-3 hours,7-9 hours,high,"yes, full-time",partial support,sometimes,high,rather satisfied,often,important,2–8 hours,personal motivation
145,student,student_145,student_145,female,22-23,master,7m06105 computer science and engineering,2 year,above 3.5,90-100%,computer sciences,1-3 hours,7-9 hours,high,"yes, full-time",full support,often,high,rather satisfied,often,important,2–8 hours,personal motivation
146,student,student_146,student_146,male,22-23,master,7m06105 computer science and engineering,2 year,2.8-3.0,70-79%,humanities,1-3 hours,7-9 hours,low,"yes, full-time",no financial support,never,low,rather dissatisfied,never,not important,do not prepare,financial situation
147,student,student_147,student_147,female,22-23,master,7m06105 computer science and engineering,2 year,3.3-3.4,80-89%,technical sciences,1-3 hours,7-9 hours,high,"yes, full-time",partial support,sometimes,high,hard to say,rarely,slightly important,2–8 hours,quality of teaching
148,student,student_148,student_148,female,22-23,master,7m06105 computer science and engineering,2 year,3.3-3.4,80-89%,technical sciences,1-3 hours,7-9 hours,high,"yes, full-time",partial support,sometimes,high,hard to say,rarely,slightly important,2–8 hours,quality of teaching
149,student,student_149,student_149,female,22-23,master,7m06105 computer science and engineering,2 year,2.8-3.0,70-79%,humanities,less than 1 hour,less than 6 hours,low,"yes, full-time",partial support,rarely,low,rather dissatisfied,never,not important,less than 1 hour,interest in the subject
150,student,student_150,student_150,female,22-23,master,7m06105 computer science and engineering,2 year,3.3-3.4,90-100%,humanities,more than 4 hours,more than 10 hours,high,no,full support,rarely,high,rather satisfied,sometimes,moderately important,2–8 hours,family support
151,student,student_151,student_151,male,22-23,master,7m06105 computer science and engineering,2 year,3.3-3.4,80-89%,technical sciences,1-3 hours,7-9 hours,high,no,partial support,often,high,hard to say,rarely,important,2–8 hours,family support
152,student,student_152,student_152,female,22-23,master,7m06105 computer science and engineering,2 year,3.3-3.4,80-89%,computer sciences,1-3 hours,7-9 hours,high,"yes, full-time",full support,sometimes,average,rather satisfied,sometimes,important,less than 1 hour,financial situation
153,student,student_153,student_153,male,22-23,master,7m06105 computer science and engineering,2 year,above 3.5,90-100%,computer sciences,1-3 hours,7-9 hours,high,no,full support,often,high,rather satisfied,never,important,less than 1 hour,family support
154,student,student_154,student_154,male,20-21,master,7m06105 computer science and engineering,1 year,2.8-3.0,90-100%,technical sciences,1-3 hours,7-9 hours,high,"yes, full-time",no financial support,sometimes,high,fully satisfied,often,important,2–8 hours,personal motivation
155,student,student_155,student_155,male,20-21,master,7m06105 computer science and engineering,1 year,3.1-3.2,90-100%,technical sciences,1-3 hours,7-9 hours,high,no,full support,sometimes,high,fully satisfied,sometimes,important,2–8 hours,personal motivation
156,student,student_156,student_156,male,20-21,master,7m06105 computer science and engineering,1 year,3.1-3.2,90-100%,computer sciences,1-3 hours,7-9 hours,high,"yes, full-time",partial support,often,high,rather satisfied,often,important,2–8 hours,personal motivation
157,student,student_157,student_157,male,20-21,master,7m06105 computer science and engineering,1 year,3.1-3.2,80-89%,humanities,1-3 hours,7-9 hours,high,"yes, full-time",partial support,often,high,rather satisfied,often,moderately important,9–15 hours,interest in the subject
158,student,student_158,student_158,male,22-23,master,7m06105 computer science and engineering,2 year,3.3-3.4,70-79%,computer sciences,1-3 hours,7-9 hours,very high,no,full support,often,high,fully satisfied,sometimes,important,9–15 hours,personal motivation
159,student,student_159,student_159,female,20-21,master,7m06105 computer science and engineering,1 year,3.1-3.2,90-100%,technical sciences,1-3 hours,7-9 hours,high,"yes, full-time",partial support,sometimes,high,rather satisfied,sometimes,important,2–8 hours,quality of teaching
160,student,student_160,student_160,female,22-23,master,7m06105 computer science and engineering,2 year,3.3-3.4,90-100%,technical sciences,1-3 hours,7-9 hours,high,"yes, full-time",partial support,often,high,rather satisfied,rarely,important,2–8 hours,quality of teaching
161,student,student_161,student_161,male,22-23,master,7m06103 applied data analytics,2 year,3.3-3.4,80-89%,computer sciences,1-3 hours,7-9 hours,average,"yes, full-time",partial support,sometimes,high,rather satisfied,rarely,important,2–8 hours,personal motivation
162,student,student_162,student_162,male,22-23,master,7m06103 applied data analytics,2 year,3.1-3.2,90-100%,computer sciences,1-3 hours,7-9 hours,high,"yes, full-time",partial support,often,high,rather dissatisfied,often,slightly important,2–8 hours,interest in the subject
163,student,student_163,student_163,female,22-23,master,7m06103 applied data analytics,2 year,3.3-3.4,80-89%,computer sciences,1-3 hours,7-9 hours,high,"yes, full-time",partial support,rarely,average,rather satisfied,sometimes,moderately important,2–8 hours,personal motivation
164,student,student_164,student_164,female,22-23,master,7m06103 applied data analytics,2 year,below 2.7,70-79%,humanities,less than 1 hour,7-9 hours,average,"yes, full-time",partial support,never,low,rather dissatisfied,never,slightly important,do not prepare,quality of teaching
165,student,student_165,student_165,female,22-23,master,7m06103 applied data analytics,2 year,below 2.7,below 70%,humanities,do not prepare,less than 6 hours,very low,"yes, full-time",no financial support,never,very low,not satisfied at all,never,not important,do not prepare,quality of teaching
166,student,student_166,student_166,female,22-23,master,7m06103 applied data analytics,2 year,2.8-3.0,70-79%,technical sciences,less than 1 hour,7-9 hours,average,"yes, full-time",partial support,rarely,average,hard to say,rarely,moderately important,less than 1 hour,personal motivation
167,student,student_167,student_167,male,22-23,master,7m06103 applied data analytics,2 year,3.3-3.4,90-100%,computer sciences,more than 4 hours,7-9 hours,very high,"yes, full-time",partial support,sometimes,very high,fully satisfied,often,very important,9–15 hours,personal motivation
168,student,student_168,student_168,female,22-23,master,7m06103 applied data analytics,2 year,above 3.5,90-100%,computer sciences,1-3 hours,7-9 hours,very high,"yes, full-time",partial support,sometimes,high,rather satisfied,never,important,2–8 hours,quality of teaching
169,student,student_169,student_169,male,22-23,master,7m06103 applied data analytics,2 year,2.8-3.0,70-79%,technical sciences,less than 1 hour,less than 6 hours,low,"yes, full-time",no financial support,rarely,average,rather dissatisfied,never,important,less than 1 hour,interest in the subject
170,student,student_170,student_170,female,22-23,master,7m06103 applied data analytics,2 year,2.8-3.0,70-79%,humanities,less than 1 hour,7-9 hours,low,no,full support,rarely,low,rather dissatisfied,never,slightly important,less than 1 hour,quality of teaching
171,student,student_171,student_171,female,22-23,master,7m06103 applied data analytics,2 year,above 3.5,80-89%,computer sciences,1-3 hours,7-9 hours,high,no,full support,sometimes,high,rather satisfied,never,important,2–8 hours,interest in the subject
172,student,student_172,student_172,female,22-23,master,7m06103 applied data analytics,2 year,3.3-3.4,70-79%,technical sciences,less than 1 hour,7-9 hours,average,"yes, part-time",partial support,rarely,high,hard to say,rarely,important,less than 1 hour,quality of teaching
173,student,student_173,student_173,female,22-23,master,7m06103 applied data analytics,2 year,above 3.5,80-89%,computer sciences,1-3 hours,7-9 hours,average,"yes, full-time",partial support,sometimes,average,hard to say,never,moderately important,2–8 hours,quality of teaching
174,student,student_174,student_174,male,22-23,master,7m06103 applied data analytics,2 year,above 3.5,90-100%,computer sciences,1-3 hours,7-9 hours,high,"yes, full-time",partial support,sometimes,high,rather satisfied,rarely,important,2–8 hours,interest in the subject
175,student,student_175,student_175,male,20-21,master,7m06103 applied data analytics,2 year,3.3-3.4,80-89%,computer sciences,1-3 hours,7-9 hours,high,"yes, full-time",partial support,rarely,average,hard to say,often,important,2–8 hours,quality of teaching
176,student,student_176,student_176,female,22-23,master,7m06103 applied data analytics,2 year,3.1-3.2,80-89%,humanities,1-3 hours,7-9 hours,high,"yes, full-time",partial support,rarely,average,rather satisfied,sometimes,slightly important,2–8 hours,financial situation
177,student,student_177,student_177,female,20-21,master,7m06103 applied data analytics,2 year,3.1-3.2,80-89%,humanities,less than 1 hour,7-9 hours,high,no,full support,rarely,high,rather satisfied,rarely,important,2–8 hours,interest in the subject
178,student,student_178,student_178,male,20-21,master,7m06103 applied data analytics,2 year,3.1-3.2,80-89%,computer sciences,1-3 hours,7-9 hours,high,"yes, full-time",partial support,often,high,rather satisfied,sometimes,slightly important,2–8 hours,interest in the subject
179,student,student_179,student_179,female,20-21,master,7m06103 applied data analytics,2 year,3.1-3.2,80-89%,computer sciences,1-3 hours,7-9 hours,high,"yes, full-time",no financial support,often,high,rather satisfied,rarely,important,less than 1 hour,personal motivation
180,student,student_180,student_180,male,22-23,master,7m06103 applied data analytics,2 year,2.8-3.0,70-79%,computer sciences,1-3 hours,7-9 hours,average,"yes, full-time",partial support,often,high,rather dissatisfied,rarely,not important,do not prepare,family support
181,student,student_181,student_181,female,20-21,master,7m06103 applied data analytics,2 year,2.8-3.0,70-79%,computer sciences,do not prepare,less than 6 hours,low,no,full support,often,low,rather dissatisfied,never,not important,do not prepare,financial situation
182,student,student_182,student_182,female,20-21,master,7m06103 applied data analytics,2 year,2.8-3.0,below 70%,humanities,do not prepare,less than 6 hours,low,"yes, full-time",partial support,rarely,average,not satisfied at all,never,not important,do not prepare,interest in the subject
183,student,student_183,student_183,female,22-23,master,7m06103 applied data analytics,2 year,2.8-3.0,80-89%,humanities,do not prepare,7-9 hours,low,"yes, full-time",no financial support,sometimes,average,rather dissatisfied,never,important,do not prepare,quality of teaching
184,student,student_184,student_184,female,20-21,master,7m06108 applied artificial intelligence,2 year,3.1-3.2,70-79%,technical sciences,less than 1 hour,7-9 hours,average,"yes, full-time",no financial support,rarely,low,hard to say,rarely,moderately important,less than 1 hour,quality of teaching
185,student,student_185,student_185,female,20-21,master,7m06103 applied data analytics,2 year,3.1-3.2,70-79%,computer sciences,less than 1 hour,7-9 hours,high,"yes, full-time",partial support,sometimes,low,rather dissatisfied,never,slightly important,do not prepare,financial situation
186,student,student_186,student_186,male,22-23,master,7m06104 computational science,2 year,3.3-3.4,80-89%,technical sciences,1-3 hours,7-9 hours,very high,"yes, full-time",partial support,sometimes,high,rather satisfied,often,important,9–15 hours,personal motivation
187,student,student_187,student_187,male,22-23,master,7m06104 computational science,2 year,above 3.5,90-100%,computer sciences,more than 4 hours,7-9 hours,high,no,full support,often,high,fully satisfied,often,important,more than 16 hours,quality of teaching
188,student,student_188,student_188,male,22-23,master,7m06104 computational science,2 year,3.1-3.2,80-89%,technical sciences,more than 4 hours,7-9 hours,high,no,partial support,often,high,rather satisfied,sometimes,moderately important,9–15 hours,interest in the subject
189,student,student_189,student_189,male,22-23,master,7m06104 computational science,2 year,3.3-3.4,80-89%,technical sciences,1-3 hours,7-9 hours,average,"yes, full-time",no financial support,sometimes,high,rather satisfied,sometimes,important,9–15 hours,interest in the subject
190,student,student_190,student_190,male,20-21,master,7m06104 computational science,2 year,3.3-3.4,80-89%,technical sciences,1-3 hours,7-9 hours,high,"yes, full-time",partial support,sometimes,high,rather satisfied,often,important,more than 16 hours,quality of teaching
191,student,student_191,student_191,male,20-21,master,7m06105 computer science and engineering,1 year,3.1-3.2,70-79%,computer sciences,1-3 hours,less than 6 hours,high,"yes, full-time",partial support,sometimes,average,rather satisfied,never,important,2–8 hours,quality of teaching
192,student,student_192,student_192,female,above 24,bachelor,6b07101 industrial internet of things,1 year,2.8-3.0,70-79%,technical sciences,1-3 hours,7-9 hours,low,no,no financial support,often,average,hard to say,sometimes,very important,2–8 hours,amount of self-study
